date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2020-12-08,M,M,0.00,M,M
2020-12-09,M,M,0.00,M,M
2020-12-10,M,M,0.00,M,M
2020-12-12,M,M,0.00,M,M
2020-12-14,M,M,0.00,M,M
2020-12-16,M,M,0.00,M,M
2020-12-17,M,M,0.00,M,M
2020-12-18,M,M,0.00,M,M
2020-12-20,M,M,0.00,M,M
2020-12-21,M,M,0.00,M,M
2020-12-22,M,M,0.00,M,M
2020-12-23,M,M,0.00,M,M
2020-12-29,M,M,0.00,M,M
2021-01-01,M,M,0.00,M,M
2021-01-03,M,M,0.00,M,M
2021-01-04,M,M,0.00,M,M
2021-01-05,M,M,0.00,M,M
2021-01-07,M,M,0.00,M,M
2021-01-08,M,M,0.00,M,M
2021-01-09,M,M,0.00,M,M
2021-01-12,M,M,0.00,M,M
2021-01-13,M,M,0.00,M,M
2021-01-14,M,M,0.00,M,M
2021-01-15,M,M,0.00,M,M
2021-01-16,M,M,0.00,M,M
2021-01-17,M,M,0.00,M,M
2021-01-18,M,M,0.00,M,M
2021-01-22,M,M,0.00,M,M
2021-01-26,M,M,0.00,M,M
2021-01-27,M,M,0.00,M,M
2021-01-28,M,M,0.00,M,M
2021-01-29,M,M,0.00,M,M
2021-01-31,M,M,0.00,M,M
2021-02-01,M,M,0.00,M,M
2021-02-03,M,M,0.00,M,M
2021-02-04,M,M,0.00,M,M
2021-02-05,M,M,0.00,M,M
2021-02-07,M,M,0.00,M,M
2021-02-08,M,M,0.00,M,M
2021-02-12,M,M,0.00,M,M
2021-02-13,M,M,0.00,M,M
2021-02-15,M,M,0.00,M,M
2021-02-16,M,M,0.00,M,M
2021-02-18,M,M,0.00,M,M
2021-02-19,M,M,0.00,M,M
2021-02-20,M,M,0.00,M,M
2021-02-21,M,M,0.00,M,M
2021-02-22,M,M,0.00,M,M
2021-02-23,M,M,0.00,M,M
2021-02-24,M,M,0.00,M,M
2021-03-04,M,M,0.00,M,M
2021-03-08,M,M,0.00,M,M
2021-03-18,M,M,0.00,M,M
2021-03-19,M,M,0.00,M,M
2021-03-20,M,M,0.00,M,M
2021-03-21,M,M,0.00,M,M
2021-03-23,M,M,0.00,M,M
2021-03-26,M,M,0.00,M,M
2021-03-27,M,M,0.00,M,M
2021-03-28,M,M,0.00,M,M
2021-03-29,M,M,0.00,M,M
2021-03-30,M,M,0.00,M,M
2021-04-01,M,M,0.00,M,M
2021-04-02,M,M,0.00,M,M
2021-04-03,M,M,0.00,M,M
2021-04-04,M,M,0.00,M,M
