date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2019-11-14,48,44,1.17,0.0,0
2019-11-15,49,42,0.64,0.0,0
2019-11-16,47,42,0.82,0.0,0
2019-11-17,50,43,1.23,0.0,0
2019-11-18,45,39,0.39,0.0,0
2019-11-19,43,28,0.12,0.0,0
2019-11-20,45,32,0.24,0.0,0
2019-11-21,45,41,0.23,0.0,0
2019-11-22,49,41,1.50,0.0,0
2019-11-23,49,42,0.45,0.0,0
2019-11-24,49,35,0.67,0.0,0
2019-11-25,49,30,0.36,T,0
2019-11-26,37,27,0.00,0.0,0
2019-11-27,31,23,0.00,0.0,0
2019-11-28,30,18,0.00,0.0,0
2019-11-29,30,18,0.00,0.0,0
2019-11-30,31,22,0.00,0.0,0
2019-12-01,35,22,0.06,0.0,0
2019-12-02,42,22,0.87,0.0,0
2019-12-03,43,30,0.38,T,T
2019-12-04,37,29,0.45,T,0
2019-12-05,35,27,0.37,0.0,0
2019-12-06,30,22,0.00,0.0,0
2019-12-07,29,20,0.00,0.0,0
2019-12-08,32,22,0.00,0.0,0
2019-12-09,36,26,0.00,0.0,0
2019-12-10,42,28,0.10,0.0,0
2019-12-11,42,37,0.10,0.0,0
2019-12-12,42,38,0.15,0.0,0
2019-12-13,42,34,0.39,0.0,0
2019-12-14,38,25,0.00,0.0,0
2019-12-15,38,25,0.00,0.0,0
2019-12-16,38,25,0.38,0.0,0
2019-12-17,39,25,0.42,0.0,0
2019-12-18,40,34,0.56,0.0,0
2019-12-19,38,35,0.27,0.0,0
2019-12-20,39,31,0.43,0.0,0
2019-12-21,39,34,0.73,0.0,0
2019-12-22,39,34,0.21,0.0,0
2019-12-23,39,30,0.29,0.0,0
2019-12-24,37,30,0.66,0.0,0
2019-12-25,37,26,0.02,0.0,0
2019-12-26,40,26,1.23,0.0,0
2019-12-27,38,30,0.53,T,0
2019-12-28,46,32,2.10,0.0,0
2019-12-29,39,33,0.36,0.0,0
2019-12-30,42,34,0.37,0.0,0
2019-12-31,45,34,0.55,0.0,0
2020-01-01,45,32,0.77,0.0,0
2020-01-02,34,25,M,2.5,2
2020-01-03,30,23,M,0.5,3
2020-01-04,30,22,M,1.0,4
2020-01-05,31,28,M,1.5,5
2020-01-06,31,24,M,1.0,6
2020-01-07,29,16,M,0.3,6
2020-01-08,27,16,M,2.0,8
2020-01-09,29,24,M,2.0,10
2020-01-10,30,26,M,T,10
2020-01-11,30,15,T,T,10
2020-01-12,19,7,0.00,0.0,10
2020-01-13,12,-1,0.00,0.0,9
2020-01-14,14,-3,0.00,0.0,9
2020-01-15,14,-3,0.00,0.0,9
2020-01-16,13,6,0.00,0.0,9
2020-01-17,17,5,0.00,0.0,9
2020-01-18,30,5,0.00,0.0,M
2020-01-19,34,5,0.15,0.0,M
2020-01-20,38,M,0.24,0.0,5
2020-01-21,37,28,0.10,0.0,4
2020-01-22,36,30,0.11,0.0,3
2020-01-23,40,30,0.45,0.0,1
2020-01-24,41,32,0.75,T,1
2020-01-25,35,28,0.44,T,T
2020-01-26,41,34,1.26,0.0,0
2020-01-27,41,29,0.33,0.0,0
2020-01-28,36,29,0.09,0.0,0
2020-01-29,40,31,1.32,0.0,0
2020-01-30,40,30,1.32,0.0,0
2020-01-31,42,28,0.33,2.0,2
2020-02-01,30,24,T,1.0,2
2020-02-02,29,20,T,1.5,4
2020-02-03,30,18,T,T,4
2020-02-04,39,18,0.68,T,1
2020-02-05,40,35,0.37,0.0,0
2020-02-06,39,32,0.18,0.0,0
2020-02-07,38,23,0.00,0.0,0
2020-02-08,33,22,0.00,0.0,0
2020-02-09,37,24,0.70,0.0,0
2020-02-10,40,24,0.14,0.0,0
2020-02-11,40,27,0.70,0.0,0
2020-02-12,40,27,0.08,0.0,0
2020-02-13,36,30,1.00,0.0,0
2020-02-14,37,31,0.16,M,M
2020-02-15,37,31,0.83,M,M
2020-02-16,37,28,0.23,M,M
2020-02-17,35,29,0.48,M,M
2020-02-18,38,30,0.02,0.0,0
2020-02-19,39,32,0.35,0.0,0
2020-02-20,37,29,0.32,0.0,0
2020-02-21,36,30,1.61,0.0,0
2020-02-22,36,28,0.22,M,M
2020-02-23,36,27,0.09,1.6,1
2020-02-24,30,23,0.13,1.5,3
2020-02-25,37,25,0.24,0.0,1
2020-02-26,40,35,0.52,0.0,0
2020-02-27,41,35,0.81,0.0,0
2020-02-28,40,30,0.72,0.0,0
2020-02-29,38,27,0.04,0.0,0
2020-03-01,38,29,0.29,T,0
2020-03-02,41,30,0.46,T,0
2020-03-03,38,30,0.78,T,0
2020-03-04,37,27,0.34,1.0,1
2020-03-05,37,30,0.44,T,0
2020-03-06,37,24,0.29,T,0
2020-03-07,41,19,0.00,0.0,0
2020-03-08,39,19,0.00,0.0,0
2020-03-09,39,21,0.44,T,0
2020-03-10,39,30,1.37,T,0
2020-03-11,38,28,0.18,1.0,1
2020-03-12,35,27,0.18,1.0,1
2020-03-13,35,20,0.00,0.0,0
2020-03-14,35,18,0.00,0.0,0
2020-03-15,42,17,0.00,0.0,0
2020-03-16,44,19,0.00,0.0,0
2020-03-17,42,24,0.00,0.0,0
2020-03-18,45,21,0.00,0.0,0
2020-03-19,40,25,0.06,0.0,0
2020-03-20,56,23,0.00,0.0,0
2020-03-21,45,24,0.00,0.0,0
2020-03-22,41,28,0.26,0.0,0
2020-03-23,39,27,0.03,0.0,0
2020-03-24,47,28,0.00,0.0,0
2020-03-25,46,26,0.00,0.0,0
2020-03-26,40,31,0.53,0.0,0
2020-03-27,41,35,0.24,0.0,0
2020-03-28,39,33,0.30,0.0,0
2020-03-29,40,28,0.20,0.0,0
2020-03-30,40,31,0.00,0.0,0
2020-03-31,40,27,0.00,0.0,0
2020-04-01,42,18,0.00,0.0,0
2020-04-02,41,18,0.00,0.0,0
2020-04-03,43,18,0.00,0.0,0
2020-04-04,36,22,0.00,0.0,0
2020-04-05,38,19,0.00,0.0,0
2020-04-06,45,24,0.00,0.0,0
2020-04-07,41,26,0.00,0.0,0
2020-04-08,43,27,0.22,0.0,0
2020-04-09,41,30,0.97,0.0,0
2020-04-10,44,21,0.00,0.0,0
2020-04-11,49,22,0.00,0.0,0
2020-04-12,53,25,0.00,0.0,0
2020-04-13,57,35,0.00,0.0,0
2020-04-14,46,40,0.55,0.0,0
2020-04-15,45,38,0.04,0.0,0
2020-04-16,50,40,0.00,0.0,0
2020-04-17,50,40,0.13,0.0,0
2020-04-18,55,29,0.00,0.0,0
2020-04-19,56,29,0.00,0.0,0
2020-04-20,56,29,0.00,0.0,0
2020-04-21,48,40,0.14,0.0,0
2020-04-22,47,40,0.26,0.0,0
2020-04-23,47,40,0.09,0.0,0
2020-04-24,47,40,0.06,0.0,0
2020-04-25,54,41,0.00,0.0,0
2020-04-26,54,37,0.53,0.0,0
2020-04-27,43,37,1.17,0.0,0
2020-04-28,42,38,0.55,0.0,0
2020-04-29,44,39,2.14,0.0,0
2020-04-30,47,37,0.27,0.0,0
2020-05-01,48,33,0.07,0.0,0
2020-05-02,55,38,0.12,0.0,0
2020-05-03,59,40,0.30,0.0,0
2020-05-04,49,36,0.58,0.0,0
2020-05-05,56,38,0.02,0.0,0
2020-05-06,55,38,0.00,0.0,0
2020-05-07,53,31,0.10,0.0,0
2020-05-08,61,32,0.00,0.0,0
2020-05-09,71,43,0.00,0.0,0
2020-05-10,77,41,0.00,0.0,0
2020-05-11,76,37,0.00,0.0,0
2020-05-12,76,35,0.00,0.0,0
2020-05-13,73,34,0.00,0.0,0
2020-05-14,56,38,0.00,0.0,0
2020-05-15,64,37,0.00,0.0,0
2020-05-16,65,40,0.00,0.0,0
2020-05-17,66,38,0.00,0.0,0
2020-05-18,64,44,0.00,0.0,0
2020-05-19,60,44,0.15,0.0,0
2020-05-20,50,40,0.18,0.0,0
2020-05-21,54,42,0.00,0.0,0
2020-05-22,57,43,0.00,0.0,0
2020-05-23,58,35,0.00,0.0,0
2020-05-24,52,45,0.00,0.0,0
2020-05-25,52,40,0.10,0.0,0
2020-05-26,51,41,0.81,0.0,0
2020-05-27,55,32,0.00,0.0,0
2020-05-28,58,46,0.00,0.0,0
2020-05-29,60,37,0.04,0.0,0
2020-05-30,60,43,0.10,0.0,0
2020-05-31,60,43,0.05,0.0,0
2020-06-01,60,43,0.31,0.0,0
2020-06-02,47,43,0.41,0.0,0
2020-06-03,55,42,0.24,0.0,0
2020-06-04,55,39,0.00,0.0,0
2020-06-05,54,40,0.08,0.0,0
2020-06-06,60,34,0.00,0.0,0
2020-06-07,59,44,0.00,0.0,0
2020-06-08,50,44,0.06,0.0,0
2020-06-09,53,40,0.07,0.0,0
2020-06-10,58,44,0.57,0.0,0
2020-06-11,62,47,0.05,0.0,0
2020-06-12,59,44,T,0.0,0
2020-06-13,57,45,0.10,0.0,0
2020-06-14,52,45,0.00,0.0,0
2020-06-15,59,43,0.00,0.0,0
2020-06-16,63,43,0.00,0.0,0
2020-06-17,57,43,0.00,0.0,0
2020-06-18,63,48,0.52,0.0,0
2020-06-19,56,48,0.40,0.0,0
2020-06-20,60,48,0.53,0.0,0
2020-06-21,55,45,0.00,0.0,0
2020-06-22,57,45,0.12,0.0,0
2020-06-23,58,49,0.15,0.0,0
2020-06-24,60,47,0.00,0.0,0
2020-06-25,59,44,0.18,0.0,0
2020-06-26,51,45,0.15,0.0,0
2020-06-27,53,48,0.25,0.0,0
2020-06-28,58,43,0.00,0.0,0
2020-06-29,62,47,0.04,0.0,0
2020-06-30,58,47,0.00,0.0,0
2020-07-01,63,48,0.00,0.0,0
2020-07-02,58,46,0.00,0.0,0
2020-07-03,72,52,0.00,0.0,0
2020-07-04,63,45,0.00,0.0,0
2020-07-05,60,51,0.00,0.0,0
2020-07-06,58,51,0.00,0.0,0
2020-07-07,64,46,0.00,0.0,0
2020-07-08,64,46,0.00,0.0,0
2020-07-09,63,51,0.63,0.0,0
2020-07-10,56,50,0.83,0.0,0
2020-07-11,54,49,0.46,0.0,0
2020-07-12,57,49,0.00,0.0,0
2020-07-13,58,48,0.06,0.0,0
2020-07-14,59,51,1.21,0.0,0
2020-07-15,56,51,0.58,0.0,0
2020-07-16,57,51,0.63,0.0,0
2020-07-17,57,50,0.02,0.0,0
2020-07-18,57,51,0.30,0.0,0
2020-07-19,57,51,0.10,0.0,0
2020-07-20,58,51,0.46,0.0,0
2020-07-21,60,50,0.17,0.0,0
2020-07-22,55,51,0.08,0.0,0
2020-07-23,62,51,0.14,0.0,0
2020-07-24,55,47,0.27,0.0,0
2020-07-25,57,51,T,0.0,0
2020-07-26,57,54,1.57,0.0,0
2020-07-27,57,50,0.30,0.0,0
2020-07-28,58,46,0.00,0.0,0
2020-07-29,65,41,0.00,0.0,0
2020-07-30,70,45,0.00,0.0,0
2020-07-31,75,49,0.00,0.0,0
2020-08-01,78,55,0.00,0.0,0
2020-08-02,66,55,1.00,0.0,0
2020-08-03,59,53,0.35,0.0,0
2020-08-04,61,52,0.21,0.0,0
2020-08-05,58,50,0.31,0.0,0
2020-08-06,M,M,S,M,M
2020-08-07,61,51,0.31A,0.0,0
2020-08-08,57,50,0.50,0.0,0
2020-08-09,58,50,0.53,0.0,0
2020-08-10,58,49,0.20,0.0,0
2020-08-11,55,48,0.18,0.0,0
2020-08-12,58,47,0.00,0.0,0
2020-08-13,58,47,0.00,0.0,0
2020-08-14,58,47,0.33,0.0,0
2020-08-15,M,M,S,M,M
2020-08-17,59,50,0.64A,0.0,0
2020-08-18,58,50,0.08,0.0,0
2020-08-19,60,50,0.28,0.0,0
2020-08-20,61,52,0.15,0.0,0
2020-08-21,66,46,0.05,0.0,0
2020-08-22,63,51,0.90,0.0,0
2020-08-23,61,52,0.00,0.0,0
2020-08-24,57,50,0.37,0.0,0
2020-08-25,60,51,0.13,0.0,0
2020-08-26,55,48,0.72,0.0,0
2020-08-27,59,43,0.00,0.0,0
2020-08-28,58,49,1.20,0.0,0
2020-08-29,55,48,1.04,0.0,0
2020-08-30,60,49,0.16,0.0,0
2020-08-31,54,50,0.84,0.0,0
2020-09-01,58,51,0.33,0.0,0
2020-09-02,56,48,0.18,0.0,0
2020-09-03,53,49,0.11,0.0,0
2020-09-04,56,48,0.00,0.0,0
2020-09-05,56,48,0.04,0.0,0
2020-09-06,60,48,0.30,0.0,0
2020-09-07,62,45,0.00,0.0,0
2020-09-08,66,45,T,0.0,0
2020-09-09,61,52,0.00,0.0,0
2020-09-10,62,50,0.00,0.0,0
2020-09-11,62,39,0.00,0.0,0
2020-09-12,60,36,0.00,0.0,0
2020-09-13,61,36,0.00,0.0,0
2020-09-14,62,37,0.00,0.0,0
2020-09-15,70,36,0.00,0.0,0
2020-09-16,66,38,0.00,0.0,0
2020-09-17,66,41,0.00,0.0,0
2020-09-18,67,49,T,0.0,0
2020-09-19,59,49,0.30,0.0,0
2020-09-20,57,40,0.00,0.0,0
2020-09-21,54,45,0.43,0.0,0
2020-09-22,54,47,0.38,0.0,0
2020-09-23,54,49,0.64,0.0,0
2020-09-24,54,47,0.50,0.0,0
2020-09-25,53,46,0.50,0.0,0
2020-09-26,56,44,0.16,0.0,0
2020-09-27,56,44,0.93,0.0,0
2020-09-28,56,46,0.83,0.0,0
2020-09-29,59,42,0.02,0.0,0
2020-09-30,56,46,T,0.0,0
2020-10-01,62,40,0.33,0.0,0
2020-10-02,60,45,0.11,0.0,0
2020-10-03,62,51,1.00,0.0,0
2020-10-04,62,47,0.04,0.0,0
2020-10-05,62,47,0.22,0.0,0
2020-10-06,52,41,0.21,0.0,0
2020-10-07,56,38,0.05,0.0,0
2020-10-08,50,34,0.00,0.0,0
2020-10-09,49,37,0.00,0.0,0
2020-10-10,46,40,0.70,0.0,0
2020-10-11,48,40,0.50,0.0,0
2020-10-12,48,36,0.09,0.0,0
2020-10-13,49,29,0.00,0.0,0
2020-10-14,47,35,0.14,0.0,0
2020-10-15,47,36,0.05,0.0,0
2020-10-16,43,30,0.13,0.0,0
2020-10-17,49,34,0.00,0.0,0
2020-10-18,49,29,0.00,0.0,0
2020-10-19,39,29,0.23,0.0,0
2020-10-20,43,33,0.52,0.0,0
2020-10-21,43,26,0.00,0.0,0
2020-10-22,40,24,0.00,0.0,0
2020-10-23,38,26,0.00,0.0,0
2020-10-24,40,21,0.00,0.0,0
2020-10-25,41,21,0.06,0.0,0
2020-10-26,52,21,2.50,0.0,0
2020-10-27,52,M,0.00,0.0,0
2020-10-28,52,32,0.00,0.0,0
2020-10-29,41,27,0.00,0.0,0
2020-10-30,41,27,0.00,0.0,0
2020-10-31,44,29,1.12,0.0,0
2020-11-01,53,42,1.69,0.0,0
2020-11-02,53,49,2.00,0.0,0
2020-11-03,50,30,0.19,0.0,0
2020-11-04,39,31,0.01,0.0,0
2020-11-05,41,33,0.19,0.0,0
2020-11-06,37,25,0.00,0.0,0
2020-11-07,35,24,0.00,0.0,0
2020-11-08,35,22,0.00,0.0,0
2020-11-09,39,22,0.92,0.0,0
2020-11-10,41,27,0.16,0.0,0
2020-11-11,36,22,0.00,0.0,0
2020-11-12,38,28,0.83,0.0,0
2020-11-13,39,28,0.74,0.0,0
2020-11-14,36,30,0.40,0.0,0
2020-11-15,37,30,0.00,0.0,0
2020-11-16,35,24,T,0.2,0
2020-11-17,35,26,0.00,0.0,0
2020-11-18,34,27,0.05,0.0,0
2020-11-19,37,27,0.34,0.0,0
2020-11-20,36,29,0.08,0.0,0
2020-11-21,38,27,0.30,0.0,0
2020-11-22,42,28,1.36,0.0,0
2020-11-23,37,28,0.70,0.0,0
2020-11-24,41,33,1.03,0.0,0
2020-11-25,40,27,0.02,0.0,0
2020-11-26,42,32,1.48,0.0,0
2020-11-27,40,25,0.07,0.0,0
2020-11-28,36,26,0.06,0.0,0
2020-11-29,42,34,4.08,0.0,0
2020-11-30,38,28,1.32,0.0,0
2020-12-01,46,29,1.64,0.0,0
2020-12-02,48,39,0.81,0.0,0
2020-12-03,49,39,1.02,0.0,0
2020-12-04,46,38,0.79,0.0,0
2020-12-05,49,38,0.59,0.0,0
2020-12-06,48,41,1.00,0.0,0
2020-12-07,46,38,0.92,0.0,0
2020-12-08,44,37,0.82,0.0,0
2020-12-09,41,31,0.18,0.0,0
2020-12-10,40,30,T,0.0,0
2020-12-11,43,26,0.00,0.0,0
2020-12-12,43,24,0.00,0.0,0
2020-12-13,43,24,0.00,0.0,0
2020-12-14,43,24,0.38,0.0,0
2020-12-15,42,33,0.02,0.0,0
2020-12-16,44,36,0.65,0.0,0
2020-12-17,39,31,0.15,0.0,0
2020-12-18,43,33,0.71,0.0,0
2020-12-19,40,33,0.57,0.0,0
2020-12-20,40,30,0.34,0.0,0
2020-12-21,35,28,0.48,T,0
2020-12-22,32,24,0.10,0.0,0
2020-12-23,42,28,1.50,0.0,0
2020-12-24,44,27,0.76,0.0,0
2020-12-25,42,28,0.00,0.0,0
2020-12-26,42,28,0.15,0.0,0
2020-12-27,42,25,0.00,0.0,0
2020-12-28,42,25,0.00,0.0,0
2020-12-29,38,30,0.17,0.0,0
2020-12-30,40,27,0.00,0.0,0
2020-12-31,37,26,0.00,0.0,0
2021-01-01,36,26,0.30,0.0,0
2021-01-02,37,33,0.11,0.0,0
2021-01-03,40,35,0.60,0.0,0
2021-01-04,40,33,0.18,0.0,0
2021-01-05,38,32,1.23,0.0,0
2021-01-06,38,31,0.53,0.0,0
