date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2010-02-15,M,M,0.05,1.0,M
2010-02-16,M,M,0.00,M,M
2010-02-17,M,M,T,T,M
2010-02-18,M,M,T,T,M
2010-02-19,M,M,0.07,1.6,19
2010-02-20,M,M,0.07,1.8,M
2010-02-21,M,M,0.10,2.2,M
2010-02-22,M,M,0.00,M,M
2010-02-23,M,M,0.00,M,M
2010-02-24,M,M,0.00,M,M
2010-02-25,M,M,0.00,M,M
2010-02-26,46,22,0.00,M,M
2010-02-27,48,22,0.00,M,M
2010-02-28,51,22,T,M,M
2010-03-01,51,22,0.00,M,11
2010-03-02,52,22,0.00,M,M
2010-03-03,52,22,0.00,M,M
2010-03-04,54,22,T,M,M
2010-03-05,50,31,0.00,M,M
2010-03-06,51,27,0.00,M,M
2010-03-07,53,28,0.00,M,M
2010-03-08,56,28,0.00,M,M
2010-03-09,55,31,T,M,M
2010-03-10,37,24,0.16,2.9,3
2010-03-11,42,20,0.00,0.0,T
2010-03-12,48,24,0.00,0.0,T
2010-03-13,54,31,0.00,0.0,T
2010-03-14,44,32,0.03,1.2,1
2010-03-15,51,28,0.00,0.0,T
2010-03-16,58,30,0.00,0.0,T
2010-03-17,63,32,0.00,0.0,T
2010-03-18,62,29,0.00,0.0,T
2010-03-19,48,29,0.03,1.3,1
2010-03-20,42,23,0.00,M,0
2010-03-21,57,31,0.00,M,M
2010-03-22,62,35,0.04,0.0,0
2010-03-23,47,32,T,0.0,0
2010-03-24,49,25,0.00,M,0
2010-03-25,55,25,0.00,M,0
2010-03-26,55,29,T,M,0
2010-03-27,49,29,0.00,M,0
2010-03-28,55,31,0.00,M,0
2010-03-29,62,40,0.00,M,0
2010-03-30,59,36,0.26,T,0
2010-03-31,46,30,T,T,0
2010-04-01,45,26,T,T,0
2010-04-02,46,22,0.00,0.0,0
2010-04-03,50,23,T,T,0
2010-04-04,42,24,T,T,0
2010-04-05,47,25,0.00,0.0,0
2010-04-06,48,26,0.00,0.0,0
2010-04-07,45,26,0.00,0.0,0
2010-04-08,53,32,0.00,0.0,0
2010-04-09,55,23,0.05,0.9,0
2010-04-10,46,20,0.00,0.0,0
2010-04-11,54,21,0.00,0.0,0
2010-04-12,40,29,0.00,0.0,0
2010-04-13,48,33,0.06,0.6,0
2010-04-14,42,34,0.34,4.3,2
2010-04-15,52,30,0.00,0.0,0
2010-04-16,60,29,0.00,0.0,0
2010-04-17,69,29,0.00,0.0,0
2010-04-18,67,34,0.04,0.0,0
2010-04-19,66,31,0.00,0.0,0
2010-04-20,72,32,0.00,0.0,0
2010-04-21,73,35,0.00,0.0,0
2010-04-22,73,36,0.00,0.0,0
2010-04-23,70,34,0.56,0.0,0
2010-04-24,57,31,0.00,0.0,0
2010-04-25,60,31,0.00,0.0,0
2010-04-26,52,27,0.00,0.0,0
2010-04-27,60,27,0.00,0.0,0
2010-04-28,68,40,0.00,0.0,0
2010-04-29,49,36,T,T,0
2010-04-30,49,33,0.64,7.5,7
2010-05-01,47,34,T,T,0
2010-05-02,51,34,T,T,0
2010-05-03,54,35,0.00,0.0,0
2010-05-04,60,35,0.00,0.0,0
2010-05-05,44,24,0.00,0.0,0
2010-05-06,39,26,0.54,7.4,7
2010-05-07,41,23,T,T,3
2010-05-08,48,25,0.00,0.0,0
2010-05-09,54,25,T,0.0,0
2010-05-11,57,34,T,0.0,0
2010-05-13,56,29,0.00,0.0,0
2010-05-14,64,31,0.00,0.0,0
2010-05-15,69,32,0.00,0.0,0
2010-05-16,68,35,0.02,0.0,0
2010-05-17,73,38,0.00,0.0,0
2010-05-18,79,42,0.00,0.0,0
2010-05-19,77,47,0.15,0.0,0
2010-05-20,68,41,0.00,0.0,0
2010-05-21,53,30,0.15,T,0
2010-05-22,59,35,0.15,T,0
2010-05-23,47,36,0.47,T,0
2010-05-24,55,37,0.01,0.0,0
2010-05-25,41,37,0.76,0.0,0
2010-05-26,61,34,0.00,0.0,0
2010-05-27,64,39,0.10,0.0,0
2010-05-28,60,41,0.17,0.0,0
2010-05-29,42,38,0.43,0.0,0
2010-05-30,55,35,T,0.0,0
2010-05-31,61,39,0.00,0.0,0
2010-06-01,64,46,0.41,0.0,0
2010-06-02,61,42,0.36,0.0,0
2010-06-03,67,43,0.07,0.0,0
2010-06-04,64,42,0.00,0.0,0
2010-06-05,62,43,0.02,0.0,0
2010-06-06,66,42,0.00,0.0,0
2010-06-07,69,47,0.09,0.0,0
2010-06-08,64,37,0.00,0.0,0
2010-06-09,69,41,0.00,0.0,0
2010-06-10,66,39,0.09,0.0,0
2010-06-11,61,36,1.25,T,0
2010-06-12,54,33,T,0.0,0
2010-06-13,61,34,0.00,0.0,0
2010-06-14,73,39,0.00,0.0,0
2010-06-15,78,44,0.17,0.0,0
2010-06-16,61,47,0.68,0.0,0
2010-06-17,55,43,0.71,0.0,0
2010-06-18,50,39,T,0.0,0
2010-06-19,65,38,0.00,0.0,0
2010-06-20,69,41,0.15,0.0,0
2010-06-21,68,41,0.03,0.0,0
2010-06-22,68,40,0.00,0.0,0
2010-06-23,68,41,0.00,0.0,0
2010-06-24,78,46,0.13,0.0,0
2010-06-25,77,47,0.01,0.0,0
2010-06-26,78,48,0.04,0.0,0
2010-06-27,77,42,0.00,0.0,0
2010-06-28,79,43,0.00,0.0,0
2010-06-29,86,47,0.00,0.0,0
2010-06-30,86,50,0.16,0.0,0
2010-07-01,75,45,0.03,0.0,0
2010-07-02,75,46,0.44,0.0,0
2010-07-03,68,45,0.45,0.0,0
2010-07-04,66,38,0.00,0.0,0
2010-07-05,73,44,0.06,0.0,0
2010-07-06,65,42,0.03,0.0,0
2010-07-07,66,38,0.00,0.0,0
2010-07-08,74,40,0.00,0.0,0
2010-07-09,80,44,0.00,0.0,0
2010-07-10,86,46,0.00,0.0,0
2010-07-11,84,49,T,0.0,0
2010-07-12,78,49,0.04,0.0,0
2010-07-13,84,40,0.00,0.0,0
2010-07-14,68,47,0.00,0.0,0
2010-07-15,76,43,0.00,0.0,0
2010-07-16,87,45,0.00,0.0,0
2010-07-17,92,45,0.00,0.0,0
2010-07-18,91,45,0.00,0.0,0
2010-07-19,87,45,0.00,0.0,0
2010-07-20,80,48,0.00,0.0,0
2010-07-21,79,44,0.00,0.0,0
2010-07-22,77,44,0.60,0.0,0
2010-07-23,80,44,0.00,0.0,0
2010-07-24,76,43,0.00,0.0,0
2010-07-25,85,46,0.00,0.0,0
2010-07-26,90,46,0.00,0.0,0
2010-07-27,82,57,0.03,0.0,0
2010-07-28,63,48,0.25,0.0,0
2010-07-29,87,50,0.00,0.0,0
2010-07-30,82,46,0.00,0.0,0
2010-07-31,89,46,T,0.0,0
2010-08-01,88,48,0.06,0.0,0
2010-08-02,84,45,0.00,0.0,0
2010-08-03,81,44,0.00,0.0,0
2010-08-04,76,52,T,0.0,0
2010-08-05,74,45,0.00,0.0,0
2010-08-06,85,49,0.30,0.0,0
2010-08-07,87,52,0.13,0.0,0
2010-08-08,83,46,0.10,0.0,0
2010-08-09,83,45,0.00,0.0,0
2010-08-10,79,48,0.40,0.0,0
2010-08-11,74,47,0.44,0.0,0
2010-08-12,76,44,0.28,0.0,0
2010-08-13,76,44,0.42,0.0,0
2010-08-14,62,41,0.38,0.0,0
2010-08-15,66,41,0.02,0.0,0
2010-08-16,84,46,0.00,0.0,0
2010-08-17,74,42,0.00,0.0,0
2010-08-18,84,43,0.00,0.0,0
2010-08-19,84,48,0.00,0.0,0
2010-08-20,84,42,0.00,0.0,0
2010-08-21,85,44,0.00,0.0,0
2010-08-22,92,46,0.00,0.0,0
2010-08-23,80,42,0.65,0.0,0
2010-08-24,69,37,0.00,0.0,0
2010-08-25,79,38,0.00,0.0,0
2010-08-26,87,45,0.00,0.0,0
2010-08-27,93,48,0.00,0.0,0
2010-08-28,73,36,0.00,0.0,0
2010-08-29,62,42,T,0.0,0
2010-08-30,51,46,0.69,0.0,0
2010-08-31,53,37,0.24,0.0,0
2010-09-01,62,44,0.09,0.0,0
2010-09-02,65,35,0.16,0.0,0
2010-09-03,70,37,0.00,0.0,0
2010-09-04,78,42,0.00,0.0,0
2010-09-05,80,44,0.04,0.0,0
2010-09-06,59,38,0.00,0.0,0
2010-09-07,60,33,0.00,0.0,0
2010-09-08,66,38,0.00,0.0,0
2010-09-09,66,42,0.32,0.0,0
2010-09-10,51,46,0.41,0.0,0
2010-09-11,60,36,0.00,0.0,0
2010-09-12,71,37,0.00,0.0,0
2010-09-13,77,39,0.00,0.0,0
2010-09-14,M,M,M,0.0,0
2010-09-15,68,39,0.16A,0.0,0
2010-09-16,72,42,0.00,0.0,0
2010-09-17,66,41,0.15,0.0,0
2010-09-18,43,38,T,0.0,0
2010-09-19,61,39,0.00,0.0,0
2010-09-20,78,42,0.00,0.0,0
2010-09-21,62,37,0.00,0.0,0
2010-09-22,65,40,0.00,0.0,0
2010-09-23,52,35,0.00,0.0,0
2010-09-24,68,36,0.00,0.0,0
2010-09-25,67,39,0.00,0.0,0
2010-09-26,81,46,0.00,0.0,0
2010-09-27,85,43,0.00,0.0,0
2010-09-28,82,44,0.00,0.0,0
2010-09-29,86,42,0.00,0.0,0
2010-09-30,75,40,0.00,0.0,0
2010-10-01,76,38,0.00,0.0,0
2010-10-02,75,38,0.00,0.0,0
2010-10-03,84,40,0.00,0.0,0
2010-10-04,88,44,0.00,0.0,0
2010-10-05,73,50,0.12,0.0,0
2010-10-06,54,37,0.16,0.0,0
2010-10-07,69,38,0.00,0.0,0
2010-10-08,71,41,0.00,0.0,0
2010-10-09,66,38,0.00,0.0,0
2010-10-10,68,44,0.00,0.0,0
2010-10-11,58,30,0.00,0.0,0
2010-10-12,66,31,0.00,0.0,0
2010-10-13,70,34,0.00,0.0,0
2010-10-14,77,35,0.00,0.0,0
2010-10-15,77,30,0.12,0.0,0
2010-10-16,68,29,0.00,0.0,0
2010-10-17,59,35,0.06,0.0,0
2010-10-18,61,27,0.00,0.0,0
2010-10-19,61,28,0.00,0.0,0
2010-10-20,65,31,0.00,0.0,0
2010-10-21,66,31,0.00,0.0,0
2010-10-22,70,31,0.00,0.0,0
2010-10-23,66,36,0.00,0.0,0
2010-10-24,57,36,0.07,0.0,0
2010-10-25,52,35,0.06,0.0,T
2010-10-26,41,35,0.00,0.0,0
2010-10-27,45,28,0.00,0.0,0
2010-10-28,57,34,0.00,0.0,0
2010-10-29,57,38,0.00,0.0,0
2010-10-30,59,29,0.00,0.0,0
2010-10-31,57,30,0.00,0.0,0
2010-11-01,52,29,0.00,0.0,0
2010-11-02,57,30,0.00,0.0,0
2010-11-03,64,26,0.00,0.0,0
2010-11-04,57,27,0.00,0.0,0
2010-11-05,60,28,0.00,0.0,0
2010-11-06,68,30,0.00,0.0,0
2010-11-07,65,39,0.00,0.0,0
2010-11-08,64,36,0.24,T,0
2010-11-09,39,29,0.09,0.5,T
2010-11-10,39,23,0.00,0.0,0
2010-11-11,36,21,0.00,0.0,0
2010-11-12,43,29,0.00,0.0,0
2010-11-13,39,25,0.00,0.0,0
2010-11-14,42,33,0.00,0.0,0
2010-11-15,46,36,0.00,0.0,0
2010-11-16,45,29,0.29,1.9,1
2010-11-17,30,22,0.10,5.2,5
2010-11-18,45,22,0.00,0.0,5
2010-11-19,53,22,0.00,0.0,5
2010-11-20,31,14,0.01,1.5,3
2010-11-21,15,3,0.11,1.2,4
2010-11-22,18,8,0.03,0.5,4
2010-11-23,15,6,0.07,2.1,5
2010-11-24,13,5,0.01,0.7,6
2010-11-25,21,6,T,T,5
2010-11-26,29,21,0.00,0.0,5
2010-11-27,35,25,0.00,0.0,5
2010-11-28,40,26,0.00,0.0,5
2010-11-29,32,9,0.06,3.2,8
2010-11-30,32,9,0.00,0.0,7
2010-12-01,M,M,0.00,0.0,5
2010-12-02,39,27,0.00,0.0,4
2010-12-03,38,26,0.04,0.5,4
2010-12-04,35,2,0.00,0.0,4
2010-12-05,29,-4,0.00,0.0,4
2010-12-06,26,4,0.00,0.0,4
2010-12-07,26,6,0.00,0.0,4
2010-12-08,42,13,0.00,0.0,3
2010-12-09,46,29,0.01,0.2,3
2010-12-10,44,26,0.08,3.1,6
2010-12-11,37,11,0.00,0.0,6
2010-12-12,38,16,0.03,0.6,5
2010-12-13,51,36,0.00,0.0,4
2010-12-14,48,29,0.00,0.0,3
2010-12-15,41,20,0.06,T,2
2010-12-16,33,16,0.00,0.0,2
2010-12-17,30,2,0.00,0.0,2
2010-12-18,13,4,T,T,2
2010-12-19,13,-1,0.04,1.0,2
2010-12-20,17,-0,0.18,2.6,5
2010-12-21,20,-1,0.00,0.0,5
2010-12-22,27,-0,0.00,0.0,5
2010-12-23,23,2,0.00,0.0,5
2010-12-24,28,7,0.00,0.0,M
2010-12-25,42,12,0.00,0.0,M
2010-12-26,45,19,0.00,0.0,M
2010-12-27,35,23,0.00,0.0,M
2010-12-28,38,29,0.00,0.0,M
2010-12-29,45,7,0.10,2.0,4
2010-12-30,22,-2,0.38,4.8,8
2010-12-31,-2,-18,0.04,1.0,9
2011-01-01,14,-16,T,T,9
2011-01-02,19,9,T,T,9
2011-01-03,27,3,0.00,0.0,9
2011-01-04,31,2,0.00,0.0,9
2011-01-05,34,5,0.00,0.0,M
2011-01-06,40,28,0.00,0.0,M
2011-01-07,42,28,T,0.0,8
2011-01-08,42,25,0.00,0.0,7
2011-01-09,33,4,0.06,2.0,8
2011-01-10,7,-8,0.05,1.4,9
2011-01-11,8,-11,0.00,0.0,9
2011-01-12,16,-10,0.00,0.0,9
2011-01-13,42,15,T,T,8
2011-01-14,45,35,0.00,0.0,7
2011-01-15,48,37,0.00,0.0,6
2011-01-16,47,31,T,0.0,5
2011-01-17,48,31,T,0.0,3
2011-01-18,44,30,0.02,0.0,3
2011-01-19,45,16,0.07,2.2,5
2011-01-20,30,8,T,T,5
2011-01-21,36,21,0.00,0.0,5
2011-01-22,46,30,0.05,T,5
2011-01-23,38,23,0.00,0.0,5
2011-01-24,44,15,0.03,T,4
2011-01-25,41,17,0.00,0.0,4
2011-01-26,42,21,0.00,0.0,3
2011-01-27,45,27,0.00,0.0,2
2011-01-28,52,29,0.00,0.0,2
2011-01-29,51,24,0.00,0.0,1
2011-01-30,43,2,0.03,0.5,1
2011-01-31,10,-9,0.08,2.7,3
2011-02-01,9,-18,0.00,0.0,3
2011-02-02,13,-15,0.00,0.0,3
2011-02-03,22,-9,0.00,0.0,3
2011-02-04,44,7,0.00,0.0,3
2011-02-05,49,27,0.20,4.5,7
2011-02-06,36,14,0.03,1.4,8
2011-02-07,27,10,0.04,1.3,8
2011-02-08,32,-8,0.15,2.8,9
2011-02-09,12,-15,0.00,0.0,9
2011-02-10,29,1,0.00,0.0,8
2011-02-12,47,26,0.00,0.0,6
2011-02-13,56,26,0.00,0.0,3
2011-02-14,45,22,0.00,0.0,2
2011-02-15,56,32,0.00,0.0,1
2011-02-16,54,38,0.00,0.0,1
2011-02-17,47,20,0.03,0.4,1
2011-02-18,33,18,0.00,0.0,1
2011-02-19,21,-0,T,0.3,1
2011-02-20,8,-2,0.19,3.2,4
2011-02-21,14,-1,0.05,0.8,5
2011-02-22,31,-0,0.00,0.0,5
2011-02-23,34,1,T,0.2,5
2011-02-24,13,-7,0.05,0.7,5
2011-02-25,-1,-26,0.05,0.7,6
2011-02-26,5,-19,0.00,0.0,6
2011-02-27,27,-18,0.00,0.0,6
2011-02-28,34,20,0.00,0.0,6
2011-03-01,36,3,0.00,0.0,6
2011-03-02,34,2,0.00,0.0,5
2011-03-03,50,4,T,T,4
2011-03-04,51,5,0.00,0.0,3
2011-03-05,42,17,0.00,0.0,2
2011-03-06,41,11,0.07,0.5,2
2011-03-07,25,10,0.04,0.7,3
2011-03-08,35,12,T,T,2
2011-03-09,38,15,0.00,0.0,2
2011-03-10,47,19,0.00,0.0,1
2011-03-11,54,25,T,T,1
2011-03-12,42,16,0.00,0.0,1
2011-03-13,46,17,0.00,0.0,0
2011-03-14,53,25,T,T,0
2011-03-15,46,25,0.00,0.0,0
2011-03-16,54,30,0.07,T,0
2011-03-17,42,26,0.00,0.0,0
2011-03-18,43,20,0.00,0.0,0
2011-03-19,47,23,0.00,0.0,0
2011-03-20,49,19,0.00,0.0,0
2011-03-21,44,20,0.01,T,0
2011-03-22,36,26,0.07,1.1,1
2011-03-23,40,15,0.00,0.0,0
2011-03-24,47,16,0.00,0.0,0
2011-03-25,48,22,0.00,0.0,0
2011-03-26,44,20,T,T,0
2011-03-27,44,20,T,T,0
2011-03-28,36,19,0.27,2.1,2
2011-03-29,45,21,0.00,0.0,0
2011-03-30,44,29,0.00,0.0,0
2011-03-31,57,34,0.00,0.0,0
2011-04-01,58,38,0.00,0.0,0
2011-04-02,59,24,0.00,0.0,0
2011-04-03,35,18,0.15,1.5,M
2011-04-04,61,18,T,T,0
2011-04-05,48,32,0.09,0.0,0
2011-04-06,48,22,T,T,0
2011-04-07,42,19,0.06,0.7,0
2011-04-08,33,21,1.25,22.0,22
2011-04-09,33,18,0.29,12.0,32
2011-04-10,46,17,0.00,0.0,11
2011-04-11,51,28,0.00,0.0,5
2011-04-12,56,18,0.00,0.0,2
2011-04-13,49,18,0.00,0.0,1
2011-04-14,51,22,0.21,0.0,0
2011-04-15,44,25,T,T,0
2011-04-16,50,29,0.00,0.0,0
2011-04-17,59,33,0.01,T,0
2011-04-18,52,24,0.05,1.8,1
2011-04-19,52,19,0.17,1.4,1
2011-04-20,51,17,0.00,0.0,0
2011-04-21,48,21,0.00,0.0,0
2011-04-22,45,19,0.26,T,0
2011-04-23,34,16,0.01,T,0
2011-04-24,50,18,0.00,0.0,0
2011-04-25,58,22,0.00,0.0,0
2011-04-26,54,25,0.05,T,0
2011-04-27,49,24,0.00,0.0,0
2011-04-28,54,25,0.00,0.0,0
2011-04-29,49,23,0.00,0.0,0
2011-04-30,36,18,0.29,4.2,4
2011-05-01,47,21,0.00,0.0,0
2011-05-02,50,20,0.00,0.0,0
2011-05-03,64,22,0.00,0.0,0
2011-05-04,51,26,0.00,0.0,0
2011-05-05,55,27,0.00,0.0,0
2011-05-06,66,35,0.00,0.0,0
2011-05-07,56,37,0.04,0.0,0
2011-05-08,60,36,0.02,0.0,0
2011-05-09,51,37,0.61,0.0,0
2011-05-10,39,31,1.45,1.2,1
2011-05-11,56,26,0.00,0.0,0
2011-05-12,65,27,0.00,0.0,0
2011-05-13,71,27,0.00,0.0,0
2011-05-14,69,33,0.00,0.0,0
2011-05-15,59,28,0.00,0.0,0
2011-05-16,68,30,0.00,0.0,0
2011-05-17,56,31,0.00,0.0,0
2011-05-18,56,26,0.00,0.0,0
2011-05-19,60,26,T,0.0,0
2011-05-20,60,28,0.41,0.0,0
2011-05-21,48,43,0.40,0.0,0
2011-05-22,57,32,0.00,0.0,0
2011-05-23,66,43,0.37,0.0,0
2011-05-24,63,41,0.17,0.0,0
2011-05-25,42,36,0.75,0.0,0
2011-05-26,61,41,0.08,0.0,0
2011-05-27,51,31,0.02,T,0
2011-05-28,54,33,T,T,0
2011-05-29,53,33,0.02,0.0,0
2011-05-30,44,32,0.94,0.7,0
2011-05-31,46,28,0.18,0.0,0
2011-06-01,67,36,0.00,0.0,0
2011-06-02,63,37,0.25,0.0,0
2011-06-03,57,40,0.18,0.0,0
2011-06-04,49,29,0.14,0.0,0
2011-06-05,70,34,0.00,0.0,0
2011-06-06,79,41,0.00,0.0,0
2011-06-07,70,47,1.24,0.0,0
2011-06-08,53,44,0.34,0.0,0
2011-06-09,54,40,0.44,0.0,0
2011-06-10,47,38,0.13,0.0,0
2011-06-11,63,40,0.00,0.0,0
2011-06-12,62,42,0.11,0.0,0
2011-06-13,61,36,0.23,0.0,0
2011-06-14,63,35,0.01,0.0,0
2011-06-15,65,34,0.00,0.0,0
2011-06-16,58,28,0.04,0.0,0
2011-06-17,60,35,0.00,0.0,0
2011-06-18,59,35,0.01,0.0,0
2011-06-19,68,42,0.07,0.0,0
2011-06-20,64,42,0.00,0.0,0
2011-06-21,66,36,0.00,0.0,0
2011-06-22,76,40,0.00,0.0,0
2011-06-23,81,46,0.00,0.0,0
2011-06-24,80,37,0.01,0.0,0
2011-06-25,71,31,0.00,0.0,0
2011-06-26,69,33,0.00,0.0,0
2011-06-27,65,34,0.00,0.0,0
2011-06-28,79,42,0.00,0.0,0
2011-06-29,88,42,0.00,0.0,0
2011-06-30,80,43,0.12,0.0,0
2011-07-01,73,33,0.00,0.0,0
2011-07-02,75,36,0.00,0.0,0
2011-07-03,82,42,0.00,0.0,0
2011-07-04,93,42,0.00,0.0,0
2011-07-05,83,49,0.00,0.0,0
2011-07-06,86,44,0.00,0.0,0
2011-07-07,87,46,0.00,0.0,0
2011-07-08,86,46,0.00,0.0,0
2011-07-09,79,35,0.00,0.0,0
2011-07-10,80,35,0.00,0.0,0
2011-07-11,84,40,0.03,0.0,0
2011-07-12,83,44,0.01,0.0,0
2011-07-13,82,48,0.48,0.0,0
2011-07-14,86,45,0.19,0.0,0
2011-07-15,72,40,0.20,0.0,0
2011-07-16,80,45,0.00,0.0,0
2011-07-17,84,42,0.00,0.0,0
2011-07-18,89,44,0.00,0.0,0
2011-07-19,94,49,0.00,0.0,0
2011-07-20,92,48,0.03,0.0,0
2011-07-21,74,38,0.00,0.0,0
2011-07-22,80,39,0.00,0.0,0
2011-07-23,76,34,0.00,0.0,0
2011-07-24,80,34,0.00,0.0,0
2011-07-25,88,47,0.01,0.0,0
2011-07-26,93,48,0.00,0.0,0
2011-07-29,82,41,0.00,0.0,0
2011-07-30,88,39,0.00,0.0,0
2011-07-31,91,44,0.00,0.0,0
2011-08-01,91,50,0.01,0.0,0
2011-08-02,82,46,0.16,0.0,0
2011-08-03,83,43,0.02,0.0,0
2011-08-04,83,44,0.19,0.0,0
2011-08-05,82,45,0.03,0.0,0
2011-08-06,74,42,0.10,0.0,0
2011-08-07,84,44,0.02,0.0,0
2011-08-08,84,40,0.00,0.0,0
2011-08-09,82,42,0.09,0.0,0
2011-08-10,83,40,0.00,0.0,0
2011-08-11,81,45,0.01,0.0,0
2011-08-12,76,37,0.00,0.0,0
2011-08-13,80,40,0.00,0.0,0
2011-08-14,88,46,0.00,0.0,0
2011-08-15,80,34,0.00,0.0,0
2011-08-16,78,36,0.00,0.0,0
2011-08-17,89,34,0.00,0.0,0
2011-08-18,82,40,0.00,0.0,0
2011-08-19,83,37,0.00,0.0,0
2011-08-20,76,36,0.00,0.0,0
2011-08-21,84,43,0.00,0.0,0
2011-08-22,89,45,0.00,0.0,0
2011-08-23,94,52,0.00,0.0,0
2011-08-24,88,42,0.00,0.0,0
2011-08-25,91,47,T,0.0,0
2011-08-26,87,44,0.02,0.0,0
2011-08-27,90,46,0.00,0.0,0
2011-08-28,92,54,0.00,0.0,0
2011-08-29,87,52,0.00,0.0,0
2011-08-30,81,44,0.00,0.0,0
2011-08-31,84,39,T,0.0,0
2011-09-01,70,46,0.03,0.0,0
2011-09-02,65,35,0.00,0.0,0
2011-09-03,71,28,0.00,0.0,0
2011-09-04,69,29,0.00,0.0,0
2011-09-05,83,36,0.00,0.0,0
2011-09-06,84,38,0.00,0.0,0
2011-09-07,84,36,0.00,0.0,0
2011-09-08,85,40,0.00,0.0,0
2011-09-09,83,40,0.00,0.0,0
2011-09-10,86,37,0.00,0.0,0
2011-09-11,85,37,0.00,0.0,0
2011-09-12,86,36,0.00,0.0,0
2011-09-13,83,35,0.00,0.0,0
2011-09-14,73,33,0.00,0.0,0
2011-09-15,70,33,0.00,0.0,0
2011-09-16,74,34,0.13,0.0,0
2011-09-17,63,32,0.02,0.0,0
2011-09-18,65,33,0.00,0.0,0
2011-09-19,67,40,0.00,0.0,0
2011-09-20,70,26,0.00,0.0,0
2011-09-21,65,27,0.00,0.0,0
2011-09-22,75,27,0.00,0.0,0
2011-09-23,84,37,0.00,0.0,0
2011-09-24,85,40,0.00,0.0,0
2011-09-25,86,40,0.01,0.0,0
2011-09-26,87,41,0.00,0.0,0
2011-09-27,78,38,0.00,0.0,0
2011-09-28,83,40,0.00,0.0,0
2011-09-29,73,25,0.00,0.0,0
2011-09-30,71,27,0.00,0.0,0
2011-10-01,85,33,0.00,0.0,0
2011-10-02,86,41,0.00,0.0,0
2011-10-03,78,36,0.00,0.0,0
2011-10-04,82,39,0.00,0.0,0
2011-10-05,70,40,0.27,0.0,0
2011-10-06,64,41,0.00,0.0,0
2011-10-07,45,41,0.00,0.0,0
2011-10-08,47,39,0.00,0.0,0
2011-10-09,55,27,0.00,0.0,0
2011-10-10,62,27,0.00,0.0,0
2011-10-11,60,32,0.00,0.0,0
2011-10-12,54,43,0.45,0.0,0
2011-10-13,57,27,0.00,0.0,0
2011-10-14,56,31,0.03,0.0,0
2011-10-15,51,32,0.05,0.0,0
2011-10-16,49,32,0.06,0.0,0
2011-10-17,49,23,0.00,0.0,0
2011-10-18,54,22,0.00,0.0,0
2011-10-19,60,23,0.00,0.0,0
2011-10-20,53,30,0.00,0.0,0
2011-10-21,62,34,T,0.0,0
2011-10-22,55,36,0.00,0.0,0
2011-10-23,62,37,0.00,0.0,0
2011-10-24,65,32,0.06,0.0,0
2011-10-25,47,21,0.08,0.0,0
2011-10-26,41,13,0.02,0.0,0
2011-10-27,45,13,0.00,0.0,0
2011-10-28,45,13,0.00,0.0,0
2011-10-29,53,23,T,0.0,0
2011-10-30,46,23,0.00,0.0,0
2011-10-31,63,35,T,0.0,0
2011-11-01,52,19,0.00,0.0,0
2011-11-02,38,10,0.03,T,T
2011-11-03,44,22,0.00,0.0,0
2011-11-04,52,17,0.00,0.0,0
2011-11-05,38,19,0.08,3.2,3
2011-11-06,32,9,T,T,2
2011-11-07,35,8,0.00,0.0,1
2011-11-08,39,11,0.00,0.0,1
2011-11-09,39,13,0.00,0.0,1
2011-11-10,45,14,0.00,0.0,0
2011-11-11,50,26,0.00,0.0,0
2011-11-12,55,29,0.01,T,0
2011-11-13,38,28,T,T,0
2011-11-14,39,28,0.00,0.0,0
2011-11-15,38,15,0.04,0.8,0
2011-11-16,34,1,0.02,0.5,1
2011-11-17,43,-0,0.01,0.0,0
2011-11-18,44,-0,T,T,0
2011-11-19,17,-5,0.32,6.3,6
2011-11-20,19,-1,0.00,0.0,6
2011-11-21,31,9,0.00,0.0,5
2011-11-22,43,26,0.00,0.0,3
2011-11-23,49,30,0.00,0.0,2
2011-11-24,54,32,0.00,0.0,1
2011-11-25,50,28,0.07,1.2,1
2011-11-26,33,8,T,T,1
2011-11-27,43,22,0.00,0.0,1
2011-11-28,56,31,0.00,0.0,0
2011-11-29,49,25,0.00,0.0,0
2011-11-30,46,32,0.00,0.0,0
2011-12-01,35,3,0.10,2.6,2
2011-12-02,34,6,0.00,0.0,2
2011-12-03,31,4,0.07,1.7,3
2011-12-04,28,8,0.04,0.9,3
2011-12-05,17,-7,0.00,0.0,3
2011-12-06,24,-3,0.00,0.0,3
2011-12-07,38,13,0.00,0.0,3
2011-12-08,40,5,T,T,2
2011-12-09,36,7,0.00,0.0,2
2011-12-10,41,9,0.00,0.0,2
2011-12-11,38,8,0.00,0.0,2
2011-12-12,33,11,0.00,0.0,2
2011-12-13,26,-0,0.00,0.0,1
2011-12-14,33,1,0.00,0.0,1
2011-12-15,37,20,0.00,0.0,1
2011-12-16,34,22,0.00,0.0,1
2011-12-17,46,26,0.00,0.0,1
2011-12-18,48,24,0.00,0.0,1
2011-12-19,51,9,0.10,2.3,3
2011-12-20,36,10,0.00,0.0,3
2011-12-21,41,19,0.30,6.8,9
2011-12-22,25,-1,0.00,0.0,9
2011-12-23,28,1,0.00,0.0,9
2011-12-24,37,10,0.00,0.0,9
2011-12-25,41,23,0.00,0.0,9
2011-12-26,39,26,0.00,0.0,8
